Rk,year,TM,player,college,yrs,G,MP,PTS,TRB,AST,FG,3p%,FT,WS,ws48,BPM,VORP
175,1969,BOS,Billy Evans,Boston College,,,,,,,,,,,,,
176,1969,ATL,Dick Barton,"University of California, Riverside",,,,,,,,,,,,,
177,1969,NYK,James Wyatt,Northwestern State University,,,,,,,,,,,,,
178,1969,LAL,Mallory Chestnutt,Tuskegee University,,,,,,,,,,,,,
179,1969,BAL,Bill Thompson,Shepherd College,,,,,,,,,,,,,
180,1969,PHO,Marv Schmitt,Western New Mexico University,,,,,,,,,,,,,
181,1969,MIL,Laymon Stewart,Lakeland College,,,,,,,,,,,,,
182,1969,SEA,Jerry Conley,Morehead State University,,,,,,,,,,,,,
183,1969,CHI,Bill Boight,SMU,,,,,,,,,,,,,
184,1969,SDR,Mike Heckman,"University of California, Irvine",,,,,,,,,,,,,
185,1969,ATL,Mike Dahl,Oglethorpe University,,,,,,,,,,,,,
186,1969,NYK,Rich Travis,Oklahoma City University,,,,,,,,,,,,,
187,1969,LAL,Mack Calvin,USC,4,222,15,7,1.2,2.5,0.42,0.125,0.848,5.9,0.086,-1.8,0.1
188,1969,BAL,Perry Johnson,Robert Morris University (PA),,,,,,,,,,,,,
189,1969,PHO,Bob Beamon,Texas-El Paso,,,,,,,,,,,,,
190,1969,MIL,Stan Wlodarszek,La Salle,,,,,,,,,,,,,
191,1969,SEA,Ernie Powell,USC,,,,,,,,,,,,,
192,1969,SDR,Jerry Nickens,Tougaloo College,,,,,,,,,,,,,
193,1969,ATL,Norm Carmichael,Virginia,,,,,,,,,,,,,
194,1969,BAL,Jodie Harrison,Illinois,,,,,,,,,,,,,
195,1969,PHO,Wayne Huckel,Davidson,,,,,,,,,,,,,
196,1969,MIL,Bill Voigt,SMU,,,,,,,,,,,,,
197,1969,SEA,Danny Cornett,Morehead State University,,,,,,,,,,,,,
198,1969,SDR,Dick Groves,San Jose State,,,,,,,,,,,,,
199,1969,ATL,Buddy Cornelius,Jacksonville State University,,,,,,,,,,,,,
200,1969,BAL,Phil Harris,Texas A&M,,,,,,,,,,,,,
201,1969,PHO,Howie Dickerman,Central Connecticut State University,,,,,,,,,,,,,
202,1969,MIL,Lynn Phillips,SMU,,,,,,,,,,,,,
203,1969,SEA,Steve Honeycutt,Kansas State,,,,,,,,,,,,,
204,1969,SDR,Steve Howell,Ohio State,,,,,,,,,,,,,
205,1969,ATL,John Tolmie,United States Naval Academy,,,,,,,,,,,,,
206,1969,BAL,Tom Haggart,Brandeis University,,,,,,,,,,,,,
207,1969,PHO,Al Nuness,Minnesota,,,,,,,,,,,,,
208,1969,MIL,Ken Hall,Westminster College of Pennsylvania,,,,,,,,,,,,,
