Rk,year,TM,player,college,yrs,G,MP,PTS,TRB,AST,FG,3p%,FT,WS,ws48,BPM,VORP
92,1984,LAL,John Revelli,Stanford,,,,,,,,,,,,,
93,1984,BOS,Kevin Mullin,Princeton,,,,,,,,,,,,,
94,1984,IND,Gene Smith,Georgetown,,,,,,,,,,,,,
95,1984,CHI,Lamont Robinson,Lamar University,,,,,,,,,,,,,
96,1984,CLE,Vince Hinchen,Boise State,,,,,,,,,,,,,
97,1984,HOU,Al McClain,University of New Hampshire,,,,,,,,,,,,,
98,1984,LAC,Alonza Allen,LA-Lafayette,,,,,,,,,,,,,
99,1984,WSB,Cohn Irish,Bowling Green,,,,,,,,,,,,,
100,1984,SAS,Eric Richardson,Alabama,,,,,,,,,,,,,
101,1984,GSW,Steve Bartek,Doane College,,,,,,,,,,,,,
102,1984,KCK,Jim Foster,South Carolina,,,,,,,,,,,,,
103,1984,DEN,Prince Bridges,Missouri,,,,,,,,,,,,,
104,1984,ATL,Terry Martin,Louisiana-Monroe,,,,,,,,,,,,,
105,1984,PHO,Bill Flye,Richmond,,,,,,,,,,,,,
106,1984,SEA,Eli Pasquale,,,,,,,,,,,,,,
107,1984,DAL,Dave Williams,University of Illinois at Chicago,,,,,,,,,,,,,
108,1984,UTA,Marcus Gaither,Fairleigh Dickinson University,,,,,,,,,,,,,
109,1984,NJN,Michael Gerren,University of South Alabama,,,,,,,,,,,,,
110,1984,GSW,Scott McCollum,Pepperdine,,,,,,,,,,,,,
111,1984,POR,Mike Whitmarsh,University of San Diego,,,,,,,,,,,,,
112,1984,DET,Rick Doyle,Texas-San Antonio,,,,,,,,,,,,,
113,1984,MIL,Ernie Floyd,Holy Cross,,,,,,,,,,,,,
114,1984,PHI,Dan Federman,Tennessee,,,,,,,,,,,,,
115,1984,LAL,Lance Berwald,North Dakota State University,,,,,,,,,,,,,
116,1984,BOS,Todd Orlando,Bentley College,,,,,,,,,,,,,
117,1984,IND,Clyde Vaughn,Pitt,,,,,,,,,,,,,
118,1984,CHI,Jeff Tipton,Morehead State University,,,,,,,,,,,,,
119,1984,CLE,Matt Doherty,UNC,,,,,,,,,,,,,
120,1984,MIL,McKinley Singleton,University of Alabama at Birmingham,1,2,5,2,0,0.5,0.667,0,,0,0.131,0.1,0
121,1984,LAC,Phillip Haynes,Memphis,,,,,,,,,,,,,
122,1984,WSB,Blaise Bugajeski,Illinois Wesleyan University,,,,,,,,,,,,,
123,1984,GSW,Tony Martin,Wyoming,,,,,,,,,,,,,
124,1984,SAS,Dion Brown,LA-Lafayette,,,,,,,,,,,,,
125,1984,DEN,Willie Burton,Tennessee,,,,,,,,,,,,,
126,1984,KCK,Bruce Vanley,Tulsa,,,,,,,,,,,,,
127,1984,ATL,Jim Master,Kentucky,,,,,,,,,,,,,
128,1984,PHO,Herman Veal,Maryland,,,,,,,,,,,,,
129,1984,SEA,Graylin Warner,LA-Lafayette,,,,,,,,,,,,,
130,1984,DAL,LaVerne Evans,Marshall,,,,,,,,,,,,,
131,1984,NJN,Oscar Schmidt,,,,,,,,,,,,,,
132,1984,UTA,Chris Harrison,West Virginia Wesleyan College,,,,,,,,,,,,,
133,1984,NYK,Eddie Lee Wilkins,Gardner-Webb University,6,322,11.8,4.8,3.1,0.2,0.47,0,0.564,2.5,0.032,-6.3,-4.1
134,1984,POR,Lance Ball,Western Oregon University,,,,,,,,,,,,,
135,1984,DET,Rennie Bailey,Louisiana Tech,,,,,,,,,,,,,
136,1984,MIL,Mike Reddick,Stetson University,,,,,,,,,,,,,
137,1984,PHI,Gary Springer,Iona College,,,,,,,,,,,,,
138,1984,LAL,Keith Jones,Stanford,,,,,,,,,,,,,
139,1984,BOS,Steve Carfino,Iowa,,,,,,,,,,,,,
140,1984,IND,Kenton Edelin,Virginia,1,10,14.3,1.1,2.6,1,0.308,,0.375,0.1,0.042,-4.2,-0.1
141,1984,CHI,Butch Hays,California,,,,,,,,,,,,,
142,1984,CLE,Joe Jakubick,University of Akron,,,,,,,,,,,,,
143,1984,HOU,Joedy Gardner,Cal State Long Beach,,,,,,,,,,,,,
144,1984,LAC,David Brantley,Oregon,,,,,,,,,,,,,
145,1984,WSB,Tim Garrett,New Mexico,,,,,,,,,,,,,
146,1984,SAS,Michael Pitts,California,,,,,,,,,,,,,
147,1984,GSW,Cliff Higgins,Cal State Northridge,,,,,,,,,,,,,
148,1984,KCK,Chip Harris,Robert Morris University (PA),,,,,,,,,,,,,
149,1984,DEN,Mark Simpson,Cawtaba College,,,,,,,,,,,,,
150,1984,ATL,Vince Martello,Florida State,,,,,,,,,,,,,
151,1984,PHO,Raymond Crenshaw,Oklahoma State,,,,,,,,,,,,,
152,1984,SEA,Gary Gatewood,Oregon,,,,,,,,,,,,,
153,1984,DAL,George Turner,"University of California, Irvine",,,,,,,,,,,,,
154,1984,UTA,Bob Evans,Southern Utah University,,,,,,,,,,,,,
155,1984,NJN,Sean Kerins,Syracuse,,,,,,,,,,,,,
156,1984,NYK,Ken Bannister,Saint Augustine's College,5,253,15.3,5.9,3.5,0.4,0.488,0,0.492,0.6,0.007,-5.6,-3.6
157,1984,POR,Victor Anger,Pepperdine,,,,,,,,,,,,,
158,1984,DET,Barry Francisco,Bloomsburg University of Pennsylvania,,,,,,,,,,,,,
159,1984,MIL,Tony William,Florida State,,,,,,,,,,,,,
160,1984,PHI,Rich Congo,Drexel,,,,,,,,,,,,,
161,1984,LAL,Richard Haenisch,Chaminade University of Honolulu,,,,,,,,,,,,,
162,1984,BOS,Mark Van Valkenburg,Framingham State College,,,,,,,,,,,,,
163,1984,IND,Tom Heitz,Kentucky,,,,,,,,,,,,,
164,1984,CHI,Brett Crawford,Alliant International University,,,,,,,,,,,,,
165,1984,CLE,Elliot Beard,Oberlin College,,,,,,,,,,,,,
166,1984,HOU,Greg Wolff,Angelo State University,,,,,,,,,,,,,
167,1984,LAC,Jim McLoughlin,Temple,,,,,,,,,,,,,
168,1984,WSB,Darryl Odom,West Virginia Wesleyan College,,,,,,,,,,,,,
169,1984,GSW,Paul Brozovich,UNLV,,,,,,,,,,,,,
170,1984,SAS,Dan Tarkanian,UNLV,,,,,,,,,,,,,
171,1984,DEN,Bill Wendlandt,Texas,,,,,,,,,,,,,
172,1984,KCK,Nate Rollins,Fort Hays State University,,,,,,,,,,,,,
173,1984,ATL,Robert Brown,Long Island University,,,,,,,,,,,,,
174,1984,PHO,Mark Fothergill,Maryland,,,,,,,,,,,,,
175,1984,SEA,Jerry McMillan,DePaul,,,,,,,,,,,,,
176,1984,DAL,Leroy Sutton,Arkansas,,,,,,,,,,,,,
177,1984,NJN,Chris Winans,Utah,,,,,,,,,,,,,
178,1984,UTA,Eric Booker,UNLV,,,,,,,,,,,,,
179,1984,NYK,Ricky Tunstall,Youngstown State University,,,,,,,,,,,,,
180,1984,POR,Steve Flint,UC San Diego,,,,,,,,,,,,,
181,1984,DET,Dale Roberts,Appalachian State University,,,,,,,,,,,,,
182,1984,MIL,Brad Jergenson,South Carolina,,,,,,,,,,,,,
183,1984,PHI,Frank Dobbs,Villanova,,,,,,,,,,,,,
184,1984,BOS,Champ Godboldt,Holy Cross,,,,,,,,,,,,,
185,1984,IND,Brian Martin,Kansas,1,8,2.6,0.8,0.5,0,0.429,,0,-0.1,-0.132,-14.2,-0.1
186,1984,CHI,Calvin Pierce,Oklahoma,,,,,,,,,,,,,
187,1984,CLE,John Shimko,Xavier,,,,,,,,,,,,,
188,1984,HOU,Bill Coon,Presbyterian College,,,,,,,,,,,,,
189,1984,LAC,Dave Schultz,Westmont College,,,,,,,,,,,,,
190,1984,WSB,Mike Emanuel,University of North Carolina at Pembroke,,,,,,,,,,,,,
191,1984,SAS,Melvin Roseboro,St. Mary's University,,,,,,,,,,,,,
192,1984,GSW,Mitch Arnold,Fresno State,,,,,,,,,,,,,
193,1984,KCK,Greg Turner,Auburn,,,,,,,,,,,,,
194,1984,DEN,Cecil Exum,UNC,,,,,,,,,,,,,
195,1984,ATL,Fred Brown,Georgetown,,,,,,,,,,,,,
196,1984,PHO,Buddy Cox,Bellarmine University,,,,,,,,,,,,,
197,1984,SEA,Mike Williams,Idaho State University,,,,,,,,,,,,,
198,1984,DAL,John Tudor,LSU,,,,,,,,,,,,,
199,1984,UTA,Kelly Knight,Kansas,,,,,,,,,,,,,
200,1984,NJN,Billy Ryan,Princeton,,,,,,,,,,,,,
201,1984,NYK,Marc Marotta,Marquette,,,,,,,,,,,,,
202,1984,POR,Dennis Black,University of Portland,,,,,,,,,,,,,
203,1984,DET,Ben Tower,Michigan State,,,,,,,,,,,,,
204,1984,MIL,Edwin Green,UMass,,,,,,,,,,,,,
205,1984,PHI,Michael Mitchell,Drexel,,,,,,,,,,,,,
206,1984,BOS,Joe Dickson,Merrimack College,,,,,,,,,,,,,
207,1984,IND,Gary Carver,Western Kentucky,,,,,,,,,,,,,
208,1984,CHI,Carl Lewis,Houston,,,,,,,,,,,,,
209,1984,CLE,Darrell Space,Northeastern Illinois University,,,,,,,,,,,,,
210,1984,HOU,Robert Turner,Canisius,,,,,,,,,,,,,
211,1984,LAC,Dick Mumma,Penn State,,,,,,,,,,,,,
212,1984,WSB,Glynn Myrick,Stetson University,,,,,,,,,,,,,
213,1984,GSW,Tim Bell,"University of California, Riverside",,,,,,,,,,,,,
214,1984,SAS,Frank Rodriguez,New Mexico State,,,,,,,,,,,,,
215,1984,DEN,Dexter Bailey,Xavier,,,,,,,,,,,,,
216,1984,KCK,Victor Coleman,Northwest Missouri State University,,,,,,,,,,,,,
217,1984,ATL,Doug Mills,Hofstra,,,,,,,,,,,,,
218,1984,PHO,Ezra Hill,Liberty,,,,,,,,,,,,,
219,1984,SEA,Greg Brandon,Creighton,,,,,,,,,,,,,
220,1984,DAL,Napoleon Johnson,Grambling State University,,,,,,,,,,,,,
221,1984,NJN,Phil Jamison,Saint Peter's College,,,,,,,,,,,,,
222,1984,UTA,Mike Curran,Niagara University,,,,,,,,,,,,,
223,1984,NYK,Mike Henderson,LIU Post,,,,,,,,,,,,,
224,1984,POR,Randy Dunn,George Fox University,,,,,,,,,,,,,
225,1984,DET,Dan Pelekoudas,Michigan,,,,,,,,,,,,,
226,1984,MIL,Mike Toomer,Florida A&M,,,,,,,,,,,,,
227,1984,PHI,Martin Clark,Boston College,,,,,,,,,,,,,
228,1984,BOS,Dan Trant,Clark University,,,,,,,,,,,,,
1,1985,NYK,Patrick Ewing,Georgetown,17,1183,34.3,21,9.8,1.9,0.504,0.152,0.74,126.4,0.15,2.9,50.1
2,1985,IND,Wayman Tisdale,Oklahoma,12,840,28.4,15.3,6.1,1.3,0.505,0,0.76,45.7,0.092,-1.6,2.3
3,1985,LAC,Benoit Benjamin,Creighton,15,807,27.2,11.4,7.5,1.3,0.497,0.048,0.721,32.7,0.072,-1.1,4.8
4,1985,SEA,Xavier McDaniel,Wichita State,12,870,29,15.6,6.1,2,0.485,0.261,0.718,47.8,0.091,-0.5,9.6
5,1985,ATL,Jon Koncak,SMU,11,784,20.9,4.5,4.9,1,0.47,0.226,0.597,29.2,0.085,-1.2,3.3
6,1985,SAC,Joe Kleine,Arkansas,15,965,15.2,4.8,4.1,0.6,0.453,0.271,0.794,19.1,0.062,-3.9,-7
7,1985,GSW,Chris Mullin,St. John's,16,986,32.6,18.2,4.1,3.5,0.509,0.384,0.865,93.1,0.139,3.1,41.6
8,1985,DAL,Detlef Schrempf,Washington,16,1136,29.6,13.9,6.2,3.4,0.491,0.384,0.803,109.5,0.156,1.8,32.3
9,1985,CLE,Charles Oakley,Virginia Union University,19,1282,31.4,9.7,9.5,2.5,0.471,0.253,0.761,89.7,0.107,-0.5,15.4
10,1985,PHO,Ed Pinckney,Villanova,12,793,19.8,6.8,5,0.9,0.535,0,0.765,42.7,0.13,0.3,9.2
11,1985,CHI,Keith Lee,Memphis,3,182,16,6.1,4.7,1,0.451,0.167,0.746,3.7,0.062,-3,-0.7
12,1985,WSB,Kenny Green,Wake Forest,2,60,10.4,4.4,1.7,0.3,0.412,0,0.721,-0.3,-0.022,-7.3,-0.8
13,1985,UTA,Karl Malone,Louisiana Tech,19,1476,37.2,25,10.1,3.6,0.516,0.274,0.742,234.6,0.205,5.1,99
14,1985,SAS,Alfredrick Hughes,Loyola Chicago,1,68,12.7,5.2,1.7,0.9,0.409,0.176,0.583,-0.5,-0.029,-5.7,-0.8
15,1985,DEN,Blair Rasmussen,Oregon,8,532,21.4,9.6,5.7,0.9,0.472,0.257,0.767,19,0.08,-3.2,-3.4
16,1985,DAL,Bill Wennington,St. John's,13,720,13.5,4.6,3,0.6,0.459,0.139,0.787,17.7,0.087,-3.7,-4.2
17,1985,DAL,Uwe Blab,Indiana,5,235,8.4,2.1,1.8,0.4,0.433,,0.608,0.4,0.009,-5.4,-1.7
18,1985,DET,Joe Dumars,McNeese State University,14,1018,34.5,16.1,2.2,4.5,0.46,0.382,0.843,86.2,0.118,0.8,25.4
19,1985,HOU,Steve Harris,Tulsa,5,207,13.7,7,1.8,1.1,0.434,0.05,0.842,3.1,0.053,-2.6,-0.4
20,1985,BOS,Sam Vincent,Michigan State,7,396,19,7.8,2.1,3.9,0.449,0.182,0.863,10.9,0.069,-0.8,2.2
21,1985,PHI,Terry Catledge,University of South Alabama,8,515,26.3,12.7,6.4,0.9,0.485,0.094,0.654,20.9,0.074,-2.6,-2
22,1985,MIL,Jerry Reynolds,LSU,8,443,18.9,9.1,3,2,0.418,0.226,0.749,10.5,0.06,0.6,5.4
23,1985,LAL,A.C. Green,Oregon State,16,1278,28.6,9.6,7.4,1.1,0.494,0.254,0.734,99.5,0.131,-0.2,16.6
24,1985,POR,Terry Porter,University of Wisconsin-Stevens Point,17,1274,27.8,12.2,3,5.6,0.463,0.386,0.836,110.4,0.15,2.9,43.3
25,1985,POR,Mike Smrek,Canisius,7,194,9.7,2.9,2.2,0.3,0.431,0,0.617,0.7,0.018,-6.1,-1.9
26,1985,IND,Bill Martin,Georgetown,3,84,10.2,4.7,1.6,0.7,0.449,0,0.813,0.3,0.016,-4.4,-0.5
27,1985,IND,Dwayne McClain,Villanova,1,45,10.2,3.5,0.7,1.5,0.383,0.111,0.514,-0.3,-0.026,-3.8,-0.2
28,1985,CHI,Ken Johnson,Michigan State,1,64,12.7,4.1,3.8,0.3,0.528,,0.435,0.8,0.044,-4.9,-0.6
29,1985,SAS,Mike Brittain,South Carolina,2,38,6.5,1.7,1.4,0.2,0.5,,0.524,-0.1,-0.011,-7.6,-0.4
30,1985,CLE,Calvin Duncan,Virginia Commonwealth,,,,,,,,,,,,,
31,1985,WSB,Manute Bol,University of Bridgeport,10,624,18.7,2.6,4.2,0.3,0.407,0.21,0.561,12.3,0.051,-0.5,4.5
32,1985,PHO,Nick Vanos,Santa Clara,2,68,12.4,3.3,3.5,0.9,0.383,0,0.561,-0.1,-0.007,-5.5,-0.7
33,1985,PHI,Greg Stokes,Iowa,2,42,9.1,3.1,1.5,0.4,0.445,0,0.696,0.3,0.041,-4.1,-0.2
34,1985,CHI,Aubrey Sherrod,Wichita State,,,,,,,,,,,,,
35,1985,SAS,Tyrone Corbin,DePaul,16,1065,26,9.2,4.7,1.8,0.456,0.299,0.791,56.5,0.098,-0.3,11.9
36,1985,NJN,Yvon Joseph,Georgia Tech,1,1,5,2,0,0,,,1,0,0.309,0.7,0
37,1985,UTA,Carey Scurry,Long Island University,3,180,13.2,4.7,2.9,1.1,0.48,0.25,0.666,5.3,0.107,1.7,2.2
38,1985,NJN,Fernando Martín,,1,24,6.1,0.9,1.2,0.4,0.29,0,0.364,-0.4,-0.144,-10.3,-0.3
39,1985,POR,George Montgomery,Illinois,,,,,,,,,,,,,
40,1985,DAL,Mark Acres,Oral Roberts,6,375,16,3.6,4.1,0.5,0.506,0.538,0.665,9.3,0.075,-3.3,-1.9
41,1985,ATL,Lorenzo Charles,NC State,1,36,7.6,3.4,1.1,0.2,0.557,,0.667,0.5,0.086,-1.6,0
42,1985,GSW,Bobby Lee Hurt,Alabama,,,,,,,,,,,,,
43,1985,DEN,Barry Stevens,Iowa State,1,2,3,1,1,0,0.5,,,0,0.157,-0.8,0
44,1985,PHI,Voise Winters,Bradley,1,4,4.3,1.5,0.8,0,0.231,0,,-0.1,-0.355,-21.8,-0.1
45,1985,CLE,Hot Rod Williams,Tulane,13,887,29.7,11,6.8,1.8,0.48,0.105,0.726,70.5,0.129,1,19.9
46,1985,CHI,Adrian Branch,Maryland,4,130,11,6.4,1.9,0.7,0.455,0.231,0.744,2.1,0.07,-1.9,0
47,1985,NYK,Gerald Wilkins,Chattanooga,13,900,29,13,2.9,3,0.45,0.316,0.745,33.9,0.062,-1.2,5.3
48,1985,IND,Kenny Patterson,DePaul,,,,,,,,,,,,,
49,1985,GSW,Brad Wright,UCLA,2,16,9.1,3.4,3.4,0.1,0.412,0,0.429,-0.1,-0.045,-8,-0.2
50,1985,DAL,Leonard Allen,San Diego State,,,,,,,,,,,,,
51,1985,SAC,Charles Bradley,South Florida,,,,,,,,,,,,,
52,1985,LAC,Anicet Lavodrama,Houston Baptist University,,,,,,,,,,,,,
53,1985,SEA,Rolando Lamb,Virginia Commonwealth,,,,,,,,,,,,,
54,1985,HOU,Sam Mitchell,Mercer University,13,994,22.4,8.7,3.7,1.1,0.447,0.223,0.784,41.7,0.09,-2.5,-3.1
55,1985,CLE,Herb Johnson,Tulsa,,,,,,,,,,,,,
56,1985,PHO,Jerry Everett,Lamar University,,,,,,,,,,,,,
57,1985,HOU,Michael Payne,Iowa,,,,,,,,,,,,,
58,1985,WSB,Vernon Moore,Creighton,,,,,,,,,,,,,
59,1985,ATL,Sedric Toney,Dayton,5,112,12.6,3.7,0.9,2.1,0.365,0.341,0.781,0,0,-5,-1.1
60,1985,DET,Andre Goode,Northwestern,,,,,,,,,,,,,
61,1985,POR,Perry Young,Virginia Tech,1,9,8,1.4,0.9,0.8,0.286,,0.5,-0.1,-0.047,-7.3,-0.1
62,1985,NJN,Nigel Manuel,UCLA,,,,,,,,,,,,,
63,1985,DAL,Harold Keeling,Santa Clara,1,20,3.8,2.2,0.3,0.5,0.436,,0.714,0.1,0.041,-2.8,0
64,1985,DET,Richie Johnson,University of Evansville,,,,,,,,,,,,,
65,1985,WSB,Ken Perry,Southern Illinois,,,,,,,,,,,,,
66,1985,SAC,Michael Adams,Boston College,11,653,31.3,14.7,2.9,6.4,0.415,0.332,0.849,46.9,0.11,1.9,19.9
67,1985,PHI,Steve Black,La Salle,,,,,,,,,,,,,
68,1985,MIL,Eugene McDowell,Florida,,,,,,,,,,,,,
69,1985,CHI,Mike Brown,George Washington,11,626,17.5,5,4.4,0.7,0.455,0.125,0.69,15.9,0.069,-3.6,-4.4
70,1985,BOS,Andre Battle,Loyola Chicago,,,,,,,,,,,,,
71,1985,GSW,Luster Goodwin,Texas-El Paso,,,,,,,,,,,,,
72,1985,IND,Vince Hamilton,Clemson,,,,,,,,,,,,,
73,1985,NYK,Fred Cofield,Eastern Michigan,2,50,9.9,3.4,1,1.7,0.395,0.188,0.6,-0.5,-0.044,-4.7,-0.3
74,1985,LAC,Jim Deines,Arizona State,,,,,,,,,,,,,
75,1985,SEA,Alex Stivrins,Colorado,2,22,4.1,2,1,0.2,0.465,0,0.5,-0.1,-0.043,-7.4,-0.1
76,1985,SAC,Willie Simmons,Louisiana Tech,,,,,,,,,,,,,
77,1985,ATL,Arvydas Sabonis,,7,470,24.2,12,7.3,2.1,0.5,0.328,0.786,47.3,0.2,4.4,18.4
78,1985,PHO,Granger Hall,Temple,,,,,,,,,,,,,
79,1985,CLE,Mark Davis,Old Dominion,1,33,7.8,3.8,1.1,0.4,0.48,0.1,0.824,0.7,0.134,-0.5,0.1
80,1985,CHI,Craig Beard,Samford University,,,,,,,,,,,,,
81,1985,WSB,Richie Adams,UNLV,,,,,,,,,,,,,
82,1985,SAS,Scott Roth,Wisconsin,3,160,11.2,4.7,1.3,1.2,0.375,0.291,0.73,1.1,0.03,-3.3,-0.6
83,1985,UTA,Delaney Rudd,Wake Forest,4,239,9.9,3.4,0.8,2.2,0.413,0.257,0.761,0.7,0.014,-3.9,-1.2
84,1985,ATL,John Battle,Rutgers University,10,612,17.8,8.7,1.3,2.1,0.464,0.273,0.793,17.9,0.079,-2,0.1
85,1985,POR,Joe Atkinson,Oklahoma State,,,,,,,,,,,,,
86,1985,DAL,Bubba Jennings,Texas Tech,,,,,,,,,,,,,
87,1985,DET,Spud Webb,NC State,12,814,24.9,9.9,2.1,5.3,0.452,0.314,0.848,40.2,0.095,0.2,11.5
88,1985,HOU,Mike Brooks,Tennessee,,,,,,,,,,,,,
89,1985,DEN,Pete Williams,Arizona,2,58,10.1,2.6,2.5,0.3,0.602,,0.425,1.4,0.112,-1.1,0.1
90,1985,PHI,Derrick Gervin,Texas-San Antonio,2,77,14.1,8.8,2.3,0.5,0.435,0.226,0.764,2.1,0.095,-1,0.3
91,1985,MIL,Cozell McQueen,NC State,1,3,2.3,2,2.7,0,1,,,0.1,0.627,26.1,0
92,1985,LAL,Dexter Shouse,University of South Alabama,1,3,6,0,0,0.7,0,0,,-0.1,-0.281,-12,0
93,1985,BOS,Cliff Weber,Liberty,,,,,,,,,,,,,
94,1985,IND,Kelvin Johnson,Richmond,,,,,,,,,,,,,
95,1985,GSW,Greg Cavener,Missouri,,,,,,,,,,,,,
96,1985,NYK,Mike Schlegel,Virginia Commonwealth,,,,,,,,,,,,,
97,1985,SEA,Lou Stefanovic,Illinois State,,,,,,,,,,,,,
98,1985,SAC,Bob Lojewski,Saint Joseph's,,,,,,,,,,,,,
99,1985,LAC,Wayne Carlander,USC,,,,,,,,,,,,,
100,1985,ATL,Larry Hampton,Hampton,,,,,,,,,,,,,
101,1985,CLE,Gunther Behnke,,,,,,,,,,,,,,
102,1985,PHO,Shawn Campbell,Weber State,,,,,,,,,,,,,
103,1985,CHI,Reid Gettys,Houston,,,,,,,,,,,,,
104,1985,WSB,Dean Shaffer,Florida State,,,,,,,,,,,,,
105,1985,UTA,Ray Hall,Canisius,,,,,,,,,,,,,
106,1985,SAS,Clayton Olivier,USC,,,,,,,,,,,,,
107,1985,POR,James Anderson,Union College,,,,,,,,,,,,,
108,1985,NJN,Kelly Blaine,University of South Alabama,,,,,,,,,,,,,
109,1985,DAL,Tommy Davis,Minnesota,,,,,,,,,,,,,
110,1985,DET,Mike Lahm,Murray State,,,,,,,,,,,,,
111,1985,IND,Ivan Daniels,University of Illinois at Chicago,,,,,,,,,,,,,
112,1985,DEN,Kenny Brown,Texas A&M,,,,,,,,,,,,,
113,1985,PHI,Carl Wright,SMU,,,,,,,,,,,,,
114,1985,MIL,Ray Knight,Providence,,,,,,,,,,,,,
115,1985,LAL,Timo Saarelainen,BYU,,,,,,,,,,,,,
116,1985,BOS,Albert Butts,La Salle,,,,,,,,,,,,,
117,1985,GSW,Gerald Crosby,Georgia,,,,,,,,,,,,,
118,1985,IND,Stu Primus,Boston College,,,,,,,,,,,,,
119,1985,NYK,Kent Lockhart,Texas-El Paso,,,,,,,,,,,,,
120,1985,SAC,Charles Balentine,Arkansas,,,,,,,,,,,,,
121,1985,LAC,Malcolm Thomas,Missouri,,,,,,,,,,,,,
122,1985,SEA,Earl Walker,Mercer University,,,,,,,,,,,,,
123,1985,ATL,Tony Duckett,Lafayette College,,,,,,,,,,,,,
124,1985,PHO,Charles Rayne,Temple,,,,,,,,,,,,,
125,1985,CLE,Ricky Johnson,Illinois State,,,,,,,,,,,,,
126,1985,CHI,Dan Meagher,Duke,,,,,,,,,,,,,
127,1985,WSB,Matt England,Houston Baptist University,,,,,,,,,,,,,
128,1985,SAS,Chris Harper,Oregon,,,,,,,,,,,,,
129,1985,UTA,Jim Miller,Virginia,,,,,,,,,,,,,
130,1985,NJN,George Almones,LA-Lafayette,,,,,,,,,,,,,
131,1985,POR,Curtis Moore,Nebraska,,,,,,,,,,,,,
132,1985,DAL,Carlton Cooper,Texas,,,,,,,,,,,,,
133,1985,DET,Vincent Giles,Eastern Michigan,,,,,,,,,,,,,
134,1985,HOU,Sam Potter,Oral Roberts,,,,,,,,,,,,,
135,1985,DEN,Joe Carrabino,Harvard University,,,,,,,,,,,,,
136,1985,PHI,Daryl Lloyd,Drake University,,,,,,,,,,,,,
137,1985,MIL,Quentin Anderson,Texas Tech,,,,,,,,,,,,,
138,1985,LAL,Tony Neal,Cal State Fullerton,,,,,,,,,,,,,
139,1985,BOS,Ralph Lewis,La Salle,3,99,6.8,2.3,1.2,0.3,0.414,0.25,0.562,0,-0.003,-4,-0.3
140,1985,IND,Jeff Acres,Oral Roberts,,,,,,,,,,,,,
141,1985,GSW,Eric Boyd,North Carolina A&T,,,,,,,,,,,,,
142,1985,NYK,Ken Bantum,Cornell,,,,,,,,,,,,,
143,1985,LAC,Gary Maloncon,UCLA,,,,,,,,,,,,,
144,1985,SEA,Michael Phelps,Alcorn State,3,132,10.4,3.6,1.1,1,0.416,0.091,0.639,0.3,0.012,-3.8,-0.6
145,1985,SAC,Alton Lee Gipson,Florida State,,,,,,,,,,,,,
146,1985,ATL,Bob Ferry,Harvard University,,,,,,,,,,,,,
147,1985,CLE,Buzz Peterson,UNC,,,,,,,,,,,,,
148,1985,PHO,Georgi Glouchkov,,1,49,15.8,4.9,3.3,0.7,0.402,1,0.574,-0.5,-0.029,-6.3,-0.8
149,1985,CHI,Jeff Adkins,Maryland,,,,,,,,,,,,,
150,1985,WSB,Keith Gray,Detroit Mercy,,,,,,,,,,,,,
151,1985,UTA,Mike Wacker,Texas,,,,,,,,,,,,,
152,1985,SAS,Al Young,Virginia Tech,,,,,,,,,,,,,
153,1985,POR,Mark Owen,Albertson College of Idaho,,,,,,,,,,,,,
154,1985,NJN,Gary McLain,Villanova,,,,,,,,,,,,,
155,1985,DAL,Ed Catchings,UNLV,,,,,,,,,,,,,
156,1985,DET,Frank James,UNLV,,,,,,,,,,,,,
157,1985,IND,Don Turney,Marshall,,,,,,,,,,,,,
158,1985,DEN,Eddie Smith,Arizona,,,,,,,,,,,,,
159,1985,PHI,Jaye Andrews,Bucknell,,,,,,,,,,,,,
160,1985,MIL,Mario Elie,American International College,11,732,25.5,8.6,2.8,2.6,0.473,0.365,0.854,48.9,0.126,0.7,12.5
161,1985,LAL,Keith Cleplicki,William & Mary,,,,,,,,,,,,,
162,1985,BOS,Chris Remly,Rutgers University,,,,,,,,,,,,,
1,1986,CLE,Brad Daugherty,UNC,8,548,36.5,19,9.5,3.7,0.532,0.143,0.747,65.2,0.156,2.2,21.3
2,1986,BOS,Len Bias,Maryland,,,,,,,,,,,,,
3,1986,GSW,Chris Washburn,NC State,2,72,9,3.1,2.4,0.3,0.412,0,0.439,-0.6,-0.046,-7.4,-0.9
4,1986,IND,Chuck Person,Auburn,13,943,30.7,14.7,5.1,2.8,0.458,0.362,0.723,38.9,0.065,-0.7,9.1
5,1986,NYK,Kenny Walker,Kentucky,7,448,20.2,7,4,0.7,0.485,0.206,0.749,17.9,0.095,-1.8,0.6
6,1986,PHO,William Bedford,Memphis,6,238,10.6,4.1,2.4,0.5,0.416,0.318,0.605,0.9,0.017,-4.8,-1.8
7,1986,DAL,Roy Tarpley,Michigan,6,280,26.7,12.6,10,1,0.483,0.176,0.744,19.8,0.127,-0.2,3.4
8,1986,CLE,Ron Harper,Miami University,15,1009,30.9,13.8,4.3,3.9,0.446,0.289,0.72,65.8,0.101,1.8,30.3
9,1986,CHI,Brad Sellers,Ohio State,6,398,18,6.3,2.7,1.1,0.452,0.2,0.793,9.8,0.066,-2.2,-0.4
10,1986,SAS,Johnny Dawkins,Duke,9,541,27.5,11.1,2.5,5.5,0.456,0.33,0.857,21.8,0.07,-0.9,4.2
